649,Dota2 Senate,36.90%,Medium,
650,2 Keys Keyboard,45.30%,Medium,
651,4 Keys Keyboard,49.50%,Medium,
652,Find Duplicate Subtrees,37.30%,Medium,
653,Two Sum IV - Input is a BST,50.20%,Easy,
654,Maximum Binary Tree,70.40%,Medium,
655,Print Binary Tree,48.90%,Medium,
656,Coin Path,25.50%,Hard,
657,Judge Route Circle,68.60%,Easy,
658,Find K Closest Elements,34.80%,Medium,
659,Split Array into Consecutive Subsequences,37.10%,Medium,
660,Remove 9,49.80%,Hard,
661,Image Smoother,46.50%,Easy,
662,Maximum Width of Binary Tree,38.20%,Medium,
663,Equal Tree Partition,36.40%,Medium,
664,Strange Printer,34.60%,Hard,
665,Non-decreasing Array,20.00%,Easy,
666,Path Sum IV,50.50%,Medium,
667,Beautiful Arrangement II,51.20%,Medium,
668,Kth Smallest Number in Multiplication Table,40.60%,Hard,
669,Trim a Binary Search Tree,58.20%,Easy,
670,Maximum Swap,38.70%,Medium,
671,Second Minimum Node In a Binary Tree,42.00%,Easy,
672,Bulb Switcher II,49.70%,Medium,
673,Number of Longest Increasing Subsequence,31.90%,Medium,
674,Longest Continuous Increasing Subsequence,42.60%,Easy,
675,Cut Off Trees for Golf Event,27.00%,Hard,
676,Implement Magic Dictionary,49.10%,Medium,
677,Map Sum Pairs,51.10%,Medium,
678,Valid Parenthesis String,29.70%,Medium,
679,24 Game,38.90%,Hard,
680,Valid Palindrome II,32.30%,Easy,
681,Next Closest Time,41.60%,Medium,
682,Baseball Game,58.30%,Easy,
683,K Empty Slots,33.60%,Hard,
684,Redundant Connection,44.30%,Medium,
685,Redundant Connection II,27.60%,Hard,
686,Repeated String Match,31.60%,Easy,
687,Longest Univalue Path,32.80%,Easy,
688,Knight Probability in Chessboard,40.30%,Medium,
689,Maximum Sum of 3 Non-Overlapping Subarrays,41.30%,Hard,
690,Employee Importance,51.80%,Easy,
691,Stickers to Spell Word,35.00%,Hard,
692,Top K Frequent Words,41.50%,Medium,
693,Binary Number with Alternating Bits,56.00%,Easy,
694,Number of Distinct Islands,45.20%,Medium,
695,Max Area of Island,52.20%,Easy,
696,Count Binary Substrings,50.80%,Easy,
697,Degree of an Array,47.00%,Easy,
698,Partition to K Equal Sum Subsets,37.90%,Medium,
699,Falling Squares,38.10%,Hard,
711,Number of Distinct Islands II,42.10%,Hard,
712,Minimum ASCII Delete Sum for Two Strings,51.50%,Medium,
713,Subarray Product Less Than K,33.30%,Medium,
714,Best Time to Buy and Sell Stock with Transaction Fee,46.60%,Medium,
715,Range Module,30.90%,Hard,
716,Max Stack,36.90%,Hard,
717,1-bit and 2-bit Characters,49.20%,Easy,
718,Maximum Length of Repeated Subarray,41.80%,Medium,
719,Find K-th Smallest Pair Distance,27.60%,Hard,
720,Longest Word in Dictionary,41.60%,Easy,
721,Accounts Merge,33.60%,Medium,
722,Remove Comments,28.10%,Medium,
723,Candy Crush,55.30%,Medium,
724,Find Pivot Index,39.40%,Easy,
725,Split Linked List in Parts,47.10%,Medium,
726,Number of Atoms,43.30%,Hard,
727,Minimum Window Subsequence,31.10%,Hard,
728,Self Dividing Numbers,66.90%,Easy,
729,My Calendar I,42.60%,Medium,
730,Count Different Palindromic Subsequences,35.10%,Hard,
731,My Calendar II,38.10%,Medium,
732,My Calendar III,49.70%,Hard,
733,Flood Fill,47.80%,Easy,
734,Sentence Similarity,38.80%,Easy,
735,Asteroid Collision,36.90%,Medium,
736,Parse Lisp Expression,41.90%,Hard,
737,Sentence Similarity II,40.30%,Medium,
738,Monotone Increasing Digits,41.20%,Medium,
739,Daily Temperatures,53.30%,Medium,
740,Delete and Earn,44.20%,Medium,
741,Cherry Pickup,24.00%,Hard,
742,Closest Leaf in a Binary Tree,34.70%,Medium,
743,Network Delay Time,35.60%,Medium,
744,Find Smallest Letter Greater Than Target,43.50%,Easy,
745,Prefix and Suffix Search,25.90%,Hard,
746,Min Cost Climbing Stairs,43.70%,Easy,
747,Largest Number At Least Twice of Others,41.20%,Easy,
748,Shortest Completing Word,52.00%,Medium,
749,Contain Virus,40.10%,Hard,
750,Number Of Corner Rectangles,56.50%,Medium,
751,IP to CIDR,53.10%,Easy,
752,Open the Lock,39.70%,Medium,
753,Cracking the Safe,40.60%,Hard,
754,Reach a Number,27.70%,Medium,
755,Pour Water,34.90%,Medium,
756,Pyramid Transition Matrix,46.90%,Medium,
757,Set Intersection Size At Least Two,35.30%,Hard,
758,Bold Words in String,38.50%,Easy,
759,Employee Free Time,53.20%,Hard,
760,Find Anagram Mappings,76.20%,Easy,
761,Special Binary String,43.20%,Hard,
762,Prime Number of Set Bits in Binary Representation,55.60%,Easy,
763,Partition Labels,64.50%,Medium,
764,Largest Plus Sign,39.20%,Medium,
765,Couples Holding Hands,48.60%,Hard,
766,Toeplitz Matrix,57.90%,Easy,
767,Reorganize String,36.50%,Medium,
768,Max Chunks To Make Sorted II,43.20%,Hard,
769,Max Chunks To Make Sorted,48.10%,Medium,
770,Basic Calculator IV,42.10%,Hard,
771,Jewels and Stones,81.90%,Easy,
772,Basic Calculator III,40.10%,Hard,
773,Sliding Puzzle,46.60%,Hard,
774,Minimize Max Distance to Gas Station,32.80%,Hard,
775,Global and Local Inversions,33.60%,Medium,
776,Split BST,49.90%,Medium,
777,Swap Adjacent in LR String,28.90%,Medium,
778,Swim in Rising Water,44.60%,Hard,
779,K-th Symbol in Grammar,37.30%,Medium,
780,Reaching Points,23.80%,Hard,
781,Rabbits in Forest,49.80%,Medium,
782,Transform to Chessboard,37.50%,Hard,
783,Minimum Distance Between BST Nodes,47.70%,Easy,
784,Letter Case Permutation,53.00%,Easy,
785,Is Graph Bipartite?,38.50%,Medium,
786,K-th Smallest Prime Fraction,32.50%,Hard,
787,Cheapest Flights Within K Stops,29.90%,Medium,
788,Rotated Digits,51.00%,Easy,
789,Escape The Ghosts,51.10%,Medium,
790,Domino and Tromino Tiling,32.80%,Medium,
791,Custom Sort String,59.50%,Medium,
792,Number of Matching Subsequences,36.50%,Medium,
793,Preimage Size of Factorial Zeroes Function,42.00%,Hard,
794,Valid Tic-Tac-Toe State,27.60%,Medium,
795,Number of Subarrays with Bounded Maximum,41.40%,Medium,
796,Rotate String,50.70%,Easy,
797,All Paths From Source to Target,67.50%,Medium,
798,Smallest Rotation with Highest Score,33.20%,Hard,
799,Champagne Tower,29.60%,Medium,
800,Similar RGB Color,53.60%,Easy,
801,Minimum Swaps To Make Sequences Increasing,28.80%,Medium,
802,Find Eventual Safe States,38.00%,Medium,
803,Bricks Falling When Hit,22.80%,Hard,
804,Unique Morse Code Words,72.60%,Easy,
805,Split Array With Same Average,20.50%,Hard,
806,Number of Lines To Write String,63.20%,Easy,
807,Max Increase to Keep City Skyline,80.70%,Medium,
808,Soup Servings,32.90%,Medium,
809,Expressive Words,36.90%,Medium,
810,Chalkboard XOR Game,38.40%,Hard,
811,Subdomain Visit Count,62.60%,Easy,
812,Largest Triangle Area,53.10%,Easy,
813,Largest Sum of Averages,40.90%,Medium,
814,Binary Tree Pruning,68.60%,Medium,
815,Bus Routes,32.30%,Hard,
816,Ambiguous Coordinates,41.50%,Medium,
817,Linked List Components,50.60%,Medium,
818,Race Car,27.10%,Hard,
819,Most Common Word,49.00%,Easy,
820,Short Encoding of Words,41.40%,Medium,
821,Shortest Distance to a Character,61.30%,Easy,
822,Card Flipping Game,35.40%,Medium,
823,Binary Trees With Factors,29.00%,Medium,
824,Goat Latin,55.50%,Easy,
825,Friends Of Appropriate Ages,28.20%,Medium,
826,Most Profit Assigning Work,32.00%,Medium,
827,Making A Large Island,41.00%,Hard,
828,Unique Letter String,33.20%,Hard,
829,Consecutive Numbers Sum,26.20%,Medium,
830,Positions of Large Groups,46.90%,Easy,
831,Masking Personal Information,42.70%,Medium,
832,Flipping an Image,70.50%,Easy,
833,Find And Replace in String,37.80%,Medium,
834,Sum of Distances in Tree,31.20%,Hard,
835,Image Overlap,35.60%,Medium,
836,Rectangle Overlap,40.60%,Easy,
837,New 21 Game,25.40%,Medium,
838,Push Dominoes,39.70%,Medium,
839,Similar String Groups,34.60%,Hard,
840,Magic Squares In Grid,33.80%,Easy,
841,Keys and Rooms,58.40%,Medium,
842,Split Array into Fibonacci Sequence,34.10%,Medium,
843,Guess the Word,33.70%,Hard,
844,Backspace String Compare,47.50%,Easy,
845,Longest Mountain in Array,30.40%,Medium,
846,Hand of Straights,42.30%,Medium,
847,Shortest Path Visiting All Nodes,39.50%,Hard,
848,Shifting Letters,33.60%,Medium,
849,Maximize Distance to Closest Person,39.80%,Easy,
850,Rectangle Area II,42.00%,Hard,
851,Loud and Rich,42.10%,Medium,
852,Peak Index in a Mountain ArrayNew,72.50%,Easy,
853,Car FleetNew,27.90%,Medium,
854,K-Similar StringsNew,29.70%,Hard,
855,Exam RoomNew,29.50%,Medium,
